state_id,age_range_id,gender_id,Population,Deaths,Probability
6,15,2,1482106,16200,0.010930392
6,16,1,983724,25485,0.025906657
6,16,2,1131479,20852,0.018428977
6,17,1,709540,31003,0.043694506
6,17,2,907668,28580,0.031487284
6,18,1,471972,34672,0.073461985
6,18,2,698700,38171,0.054631458
7,1,2,329746,1737,0.005267691
7,1,1,346372,2165,0.006250505
7,4,2,2010712,183,9.10125E-05
7,4,1,2107798,277,0.000131417
7,2,2,1386386,217,0.000156522
7,2,1,1450169,289,0.000199287
7,3,2,1881277,177,9.4085E-05
7,3,1,1969210,210,0.000106642
7,5,2,2016961,433,0.000214679
7,5,1,2129336,1191,0.000559329
7,6,2,1777733,712,0.00040051
7,6,1,1883244,2216,0.001176693
7,7,2,1737606,799,0.000459828
7,7,1,1759409,2198,0.001249283
7,8,1,1861566,2299,0.001234982
7,8,2,1912766,1073,0.000560968
7,9,1,2043668,3349,0.00163872
7,9,2,2135623,1839,0.000861107
7,10,1,2259490,5089,0.002252278
7,10,2,2363767,3071,0.001299197
7,11,1,2295338,7872,0.00342956
7,11,2,2404162,4726,0.001965758
7,12,1,2163098,10731,0.00496094
7,12,2,2278608,6620,0.002905283
7,13,1,1856097,13509,0.007278176
7,13,2,1977518,8575,0.004336244
7,14,1,1448482,15649,0.010803724
7,14,2,1585206,10913,0.006884279
7,15,1,1099131,17995,0.016372025
7,15,2,1257671,13721,0.010909848
7,16,1,846470,22939,0.027099602
7,16,2,1047166,18858,0.018008606
7,17,1,674644,29698,0.044020254
7,17,2,930165,28091,0.030200018
7,18,1,498678,36385,0.072962914
7,18,2,796635,41027,0.051500373
8,1,2,91933,716,0.007788281
8,1,1,95507,879,0.009203514
8,4,2,475782,69,0.000145024
8,4,1,497002,79,0.000158953
8,2,2,363520,101,0.000277839
8,2,1,377799,101,0.000267338
8,3,2,458078,47,0.000102603
8,3,1,476787,75,0.000157303
8,5,2,510012,165,0.000323522
8,5,1,519795,418,0.000804163
8,6,2,506207,235,0.000464237
8,6,1,508836,682,0.001340314
8,7,1,475883,781,0.00164116
8,7,2,484243,298,0.000615394
8,8,1,462091,775,0.001677159
8,8,2,476556,400,0.000839356
